exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
210,0.4,89.94999999999999,101.80100000000004,34,1000,1000000,100000
211,0.4,79.96000000000001,101.80100000000004,34,1000,1000000,100000
212,0.4,69.96000000000001,101.80100000000004,34,1000,1000000,100000
213,0.4,59.97,101.80000000000001,34,1000,1000000,100000
214,0.4,49.980000000000004,101.798,34,1000,1000000,100000
215,0.4,39.95,101.80000000000001,34,1000,1000000,100000
216,0.4,29.980000000000004,101.79900000000004,34,1000,1000000,100000
217,0.4,19.88,101.80100000000004,34,1000,1000000,100000
218,0.4,9.93,101.80100000000004,34,1000,1000000,100000
219,0.4,199.46,126.868,34,1000,1000000,100000
220,0.4,189.83,126.86700000000002,34,1000,1000000,100000
221,0.4,179.86,126.86600000000004,34,1000,1000000,100000
222,0.4,169.08,126.86700000000002,34,1000,1000000,100000
223,0.4,159.88,126.868,34,1000,1000000,100000
224,0.4,149.9,126.86600000000004,34,1000,1000000,100000
225,0.4,139.58,126.86700000000002,34,1000,1000000,100000
226,0.4,129.38,126.86600000000004,34,1000,1000000,100000
227,0.4,119.92000000000002,126.86600000000004,34,1000,1000000,100000
228,0.4,109.92000000000002,126.86600000000004,34,1000,1000000,100000
229,0.4,99.91,126.86700000000002,34,1000,1000000,100000
230,0.4,79.96000000000001,126.86700000000002,34,1000,1000000,100000
231,0.4,69.96000000000001,126.86700000000002,34,1000,1000000,100000
232,0.4,59.97,126.86600000000004,34,1000,1000000,100000
233,0.4,49.97,126.868,34,1000,1000000,100000
234,0.4,40,126.86700000000002,34,1000,1000000,100000
235,0.4,29.980000000000004,126.86500000000001,34,1000,1000000,100000
236,0.4,19.89,126.863,34,1000,1000000,100000
237,0.4,9.98,126.86500000000001,34,1000,1000000,100000
238,0.6,131.54,26.84200000000004,34,1000,1000000,100000
239,0.6,120.25999999999999,26.838000000000022,34,1000,1000000,100000
240,0.6,110.27,26.836000000000013,34,1000,1000000,100000
241,0.6,100.24,26.835000000000036,34,1000,1000000,100000
242,0.6,89.97999999999999,26.835000000000036,34,1000,1000000,100000
243,0.6,80.19999999999999,26.835000000000036,34,1000,1000000,100000
244,0.6,70.22999999999999,26.834000000000003,34,1000,1000000,100000
245,0.6,59.980000000000004,26.834000000000003,34,1000,1000000,100000
246,0.6,50,26.833000000000027,34,1000,1000000,100000
247,0.6,40.019999999999996,26.835000000000036,34,1000,1000000,100000
248,0.6,29.990000000000002,26.83200000000005,34,1000,1000000,100000
