exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
365,0.5,10,60,34,1000,1000000,100000
366,0.6,10,60,34,1000,1000000,100000
367,0.7,10,60,34,1000,1000000,100000
368,0.8,10,60,34,1000,1000000,100000
369,0.9,10,60,34,1000,1000000,100000
370,0.1,20,60,34,1000,1000000,100000
371,0.2,20,60,34,1000,1000000,100000
372,0.3,20,60,34,1000,1000000,100000
373,0.4,20,60,34,1000,1000000,100000
374,0.5,20,60,34,1000,1000000,100000
375,0.6,20,60,34,1000,1000000,100000
376,0.7,20,60,34,1000,1000000,100000
377,0.8,20,60,34,1000,1000000,100000
378,0.9,20,60,34,1000,1000000,100000
379,0.1,30,60,34,1000,1000000,100000
380,0.2,30,60,34,1000,1000000,100000
381,0.3,30,60,34,1000,1000000,100000
382,0.4,30,60,34,1000,1000000,100000
383,0.5,30,60,34,1000,1000000,100000
384,0.6,30,60,34,1000,1000000,100000
385,0.7,30,60,34,1000,1000000,100000
386,0.8,30,60,34,1000,1000000,100000
387,0.9,30,60,34,1000,1000000,100000
388,0.1,40,60,34,1000,1000000,100000
389,0.2,40,60,34,1000,1000000,100000
390,0.3,40,60,34,1000,1000000,100000
391,0.4,40,60,34,1000,1000000,100000
392,0.5,40,60,34,1000,1000000,100000
393,0.6,40,60,34,1000,1000000,100000
394,0.7,40,60,34,1000,1000000,100000
395,0.8,40,60,34,1000,1000000,100000
396,0.9,40,60,34,1000,1000000,100000
397,0.1,50,60,34,1000,1000000,100000
398,0.2,50,60,34,1000,1000000,100000
399,0.3,50,60,34,1000,1000000,100000
400,0.4,50,60,34,1000,1000000,100000
401,0.5,50,60,34,1000,1000000,100000
402,0.6,50,60,34,1000,1000000,100000
403,0.7,50,60,34,1000,1000000,100000
404,0.8,50,60,34,1000,1000000,100000
405,0.9,50,60,34,1000,1000000,100000
406,0.1,60,60,34,1000,1000000,100000
407,0.2,60,60,34,1000,1000000,100000
408,0.3,60,60,34,1000,1000000,100000
409,0.4,60,60,34,1000,1000000,100000
410,0.5,60,60,34,1000,1000000,100000
411,0.6,60,60,34,1000,1000000,100000
412,0.7,60,60,34,1000,1000000,100000
413,0.8,60,60,34,1000,1000000,100000
414,0.9,60,60,34,1000,1000000,100000
415,0.1,70,60,34,1000,1000000,100000
416,0.2,70,60,34,1000,1000000,100000
417,0.3,70,60,34,1000,1000000,100000
418,0.4,70,60,34,1000,1000000,100000
419,0.5,70,60,34,1000,1000000,100000
420,0.6,70,60,34,1000,1000000,100000
421,0.7,70,60,34,1000,1000000,100000
422,0.8,70,60,34,1000,1000000,100000
423,0.9,70,60,34,1000,1000000,100000
424,0.1,80,60,34,1000,1000000,100000
425,0.2,80,60,34,1000,1000000,100000
426,0.3,80,60,34,1000,1000000,100000
427,0.4,80,60,34,1000,1000000,100000
428,0.5,80,60,34,1000,1000000,100000
429,0.6,80,60,34,1000,1000000,100000
430,0.7,80,60,34,1000,1000000,100000
431,0.8,80,60,34,1000,1000000,100000
432,0.9,80,60,34,1000,1000000,100000
433,0.1,90,60,34,1000,1000000,100000
434,0.2,90,60,34,1000,1000000,100000
435,0.3,90,60,34,1000,1000000,100000
436,0.4,90,60,34,1000,1000000,100000
437,0.5,90,60,34,1000,1000000,100000
438,0.6,90,60,34,1000,1000000,100000
439,0.7,90,60,34,1000,1000000,100000
440,0.8,90,60,34,1000,1000000,100000
441,0.9,90,60,34,1000,1000000,100000
442,0.1,100,60,34,1000,1000000,100000
443,0.2,100,60,34,1000,1000000,100000
